country,year,sex,age,suicides_no,population,suicides_100k_pop
Albania,2000,female,35-54 years,5,332200,1.5051173991571343
Albania,2000,female,5-14 years,0,324700,0.0
Albania,2000,female,55-74 years,0,168000,0.0
Albania,2000,female,75+ years,2,37800,5.291005291005291
Albania,2000,male,15-24 years,5,240000,2.0833333333333335
Albania,2000,male,25-34 years,17,232000,7.3275862068965525
Albania,2000,male,35-54 years,4,374700,1.0675206832132373
Albania,2000,male,5-14 years,1,374900,0.2667377967457989
Albania,2000,male,55-74 years,10,177400,5.636978579481398
Albania,2000,male,75+ years,1,24900,4.016064257028113
Albania,2001,female,15-24 years,9,271359,3.3166395807767572
Albania,2001,female,25-34 years,4,222771,1.7955658501330964
Albania,2001,female,35-54 years,12,370191,3.24156989229884
Albania,2001,female,5-14 years,2,307356,0.6507112273715171
Albania,2001,female,55-74 years,6,189799,3.161238994936749
Albania,2001,female,75+ years,2,47254,4.232445930503238
Albania,2001,male,15-24 years,10,256039,3.905654997871418
Albania,2001,male,25-34 years,22,206484,10.65457856298793
Albania,2001,male,35-54 years,34,378826,8.975096746263455
Albania,2001,male,5-14 years,6,321556,1.8659269303014094
Albania,2001,male,55-74 years,11,196670,5.59312554024508
Albania,2001,male,75+ years,1,31044,3.2212343770132716
Albania,2002,female,15-24 years,14,275970,5.073015182809725
Albania,2002,female,25-34 years,7,223685,3.129400719762166
Albania,2002,female,35-54 years,15,375113,3.9987950297643646
Albania,2002,female,5-14 years,1,304850,0.3280301787764474
Albania,2002,female,55-74 years,4,191712,2.086463027875146
Albania,2002,female,75+ years,1,47407,2.1093931275971904
Albania,2002,male,15-24 years,15,263067,5.70196946025157
Albania,2002,male,25-34 years,23,206286,11.14956904491822
Albania,2002,male,35-54 years,35,382139,9.158970950360994
Albania,2002,male,5-14 years,1,319473,0.31301549739727613
Albania,2002,male,55-74 years,13,198130,6.561348609498814
Albania,2002,male,75+ years,4,31007,12.900312832586192
Albania,2003,female,15-24 years,14,283709,4.934633726811628
Albania,2003,female,25-34 years,9,222941,4.036942509453174
Albania,2003,female,35-54 years,13,381760,3.4052808046940486
Albania,2003,female,5-14 years,0,298477,0.0
Albania,2003,female,55-74 years,9,195699,4.598899330093664
Albania,2003,female,75+ years,6,49088,12.222946544980445
Albania,2003,male,15-24 years,15,273235,5.489779859827621
Albania,2003,male,25-34 years,9,205433,4.380990395895498
Albania,2003,male,35-54 years,28,386196,7.250204559342924
Albania,2003,male,5-14 years,4,313204,1.27712289753643
Albania,2003,male,55-74 years,16,201520,7.939658594680428
Albania,2003,male,75+ years,1,32667,3.0611932531300705
Albania,2004,female,15-24 years,20,292268,6.843034475207686
Albania,2004,female,25-34 years,11,222389,4.9462878109978465
Albania,2004,female,35-54 years,17,391436,4.342983271850316
Albania,2004,female,5-14 years,3,286705,1.046371706109067
Albania,2004,female,55-74 years,3,203841,1.4717353231194903
Albania,2004,female,75+ years,3,50970,5.885815185403178
Albania,2004,male,15-24 years,19,286768,6.625564916587625
Albania,2004,male,25-34 years,16,203938,7.845521678157087
Albania,2004,male,35-54 years,39,391767,9.95489666051505
Albania,2004,male,5-14 years,1,302181,0.3309274904775615
Albania,2004,male,55-74 years,10,207202,4.826208241233193
Albania,2004,male,75+ years,4,35526,11.259359342453415
Albania,2005,female,15-24 years,0,281922,0.0
Albania,2005,female,25-34 years,0,190745,0.0
Albania,2005,female,35-54 years,0,386513,0.0
Albania,2005,female,5-14 years,0,276559,0.0
Albania,2005,female,55-74 years,0,210998,0.0
Albania,2005,female,75+ years,0,53191,0.0
Albania,2005,male,15-24 years,0,281675,0.0
Albania,2005,male,25-34 years,0,177519,0.0
Albania,2005,male,35-54 years,0,380242,0.0
Albania,2005,male,5-14 years,0,291367,0.0
